"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"46.814041","0.531367",,"Point",,"CHÂTELLERAULT","86","10 heures","Boulevard de l’Envigne – Sécurité Sociale","DarkTurquoise",1,
"48.111146","5.139646",,"Point",,"CHAUMONT","52","17 heures","Place de l'Hôtel de Ville","CornflowerBlue",1,
"49.636579","-1.61925",,"Point",,"CHERBOURG","50","14 heures","Esplanade du Centre commercial des Eléis","DarkTurquoise",1,
"47.16391","0.23757",,"Point",,"CHINON","37","17 heures","Quai Danton","CornflowerBlue",,
"47.044006","-0.897435",,"Point",,"CHOLET","49","10 heures 30","Avenue des Sables","Default",1,
"46.14857","0.29519",,"Point",,"CIVRAY","86","10 heures 30","Mairie","DarkTurquoise",1,
"45.785748","3.100441",,"Point",,"CLERMONT-FERRAND","63","10 heures","Place du 1er Mai","Default",1,
"43.62685","3.43492",,"Point",,"CLERMONT-L’HÉRAULT","34","11 heures","Allées Roger Salengro","CornflowerBlue",,
"47.08619","-1.28616",,"Point",,"CLISSON","44","11 heures","Parvis de la gare","Default",1,
"46.057846","6.580288",,"Point",,"CLUSES","74","16 heures","Place des Allobroges","Default",1,
"45.693304","-0.32523",,"Point",,"COGNAC","16","10 heures","Place François 1er","DarkTurquoise",1,
"48.07683","7.354",,"Point",,"COLMAR","68","14 heures","Place Rapp","CornflowerBlue",,
"48.41479","-1.74226",,"Point",,"COMBOURG","35","18 heures","Lycée Châteaubriand","CornflowerBlue",1,
"48.76332","5.59185",,"Point",,"COMMERCY","55","9 heures 30","Place du Château","CornflowerBlue",,
"49.404607","2.781343",,"Point",,"COMPIÈGNE","60","10 heures","Rond-point Carrefour Venette","Default",,
"48.85081","-0.55238",,"Point",,"CONDÉ-EN-NORMANDIE","14","17 heures 30","Place de la Mairie","DarkTurquoise",,
"48.81523","3.08536",,"Point",,"COULOMMIERS","77","9 heures 30","Halle aux fromages","MediumBlue",,
"49.06948","-1.430111",,"Point",,"COUTANCES","50","10 heures 30","Rond-point des Pommiers","DarkTurquoise",1,
"49.24918","2.47508",,"Point",,"CREIL","60","10 heures","Champ de Mars","Default",,
"43.712363","-1.050074",,"Point",,"DAX","40","10 heures","Parc des Arènes","DarkTurquoise",1,
"44.56086","2.25424",,"Point",,"DECAZEVILLE","12","10 heures 30","Square Pierre Delpech","CornflowerBlue",,
"49.92211","1.08071",,"Point",,"DIEPPE","76","10 heures 30","Gare","DarkTurquoise",1,
"44.091569","6.231075",,"Point",,"DIGNE-LES-BAINS","04","14 heures","Gare Routière","DarkTurquoise",1,
"47.321236","5.041357",,"Point",,"DIJON","21","14 heures","Place de la Libération","DarkTurquoise",1,
"48.45409","-2.04835",,"Point",,"DINAN","22","11 heures 30","Place Duclos Pinot","CornflowerBlue",1,
"48.54863","-1.75478",,"Point",,"DOL-DE-BRETAGNE","35","11 heures","Boulevard Deminiac (La Poste)","CornflowerBlue",,
"47.091484","5.497799",,"Point",,"DOLE","39","10 heures 30","Avenue de Lahr","DarkTurquoise",,
"50.367618","3.082969",,"Point",,"DOUAI","59","10 heures","Place d’Armes","Default",1,
"50.15711","2.34103",,"Point",,"DOULLENS","80","18 heures 30","Hôtel de ville","Default",,
"43.53815","6.461602",,"Point",,"DRAGUIGNAN","83","10 heures 30","Sous-préfecture","DarkTurquoise",1,
"48.731618","1.370244",,"Point",,"DREUX","28","9 heures 30","Gare SNCF","CornflowerBlue",1,
"51.030687","2.36971",,"Point",,"DUNKERQUE","59","14 heures 30 ","Place de la Gare","Default",1,
"49.29206","1.00713",,"Point",,"ELBEUF","76","17 heures","Place de la Mairie","DarkTurquoise",,
"49.044054","3.951111",,"Point",,"ÉPERNAY","51","10 heures 30","Place Carnot","CornflowerBlue",1,
"48.172668","6.448336",,"Point",,"ÉPINAL","88","14 heures","Préfecture","CornflowerBlue",1,
