"description","dept","name"
"Lycée Guy Chauvet","86","LOUDUN"
"Place de la Victoire","86","MONTMORILLON"
"Porte de Paris","86","POITIERS"
"Carrefour Tourny","87","LIMOGES"
"Préfecture","88","ÉPINAL"
"Tour de la Liberté","88","SAINT-DIÉ-DES-VOSGES"
"Maison des Syndicats","89","AUXERRE"
"Sous-préfecture","89","SENS"
"La Maison du Peuple","90","BELFORT"
"Maison des Syndicats","972","FORT-DE-FRANCE"
"Mairie","973","KOUROU"
"Rond-point Crique Fouillée","973","MATOURY"
"Giratoire de Suzini","973","REMIRE-MONTJOLY"
"Sous-préfecture","973","SAINT-LAURENT-DU-MARONI"
"Square Joffre","975","SAINT-PIERRE-ET-MIQUELON"
"Place de la République","976","MAMOUDZOU"
"Monument aux Morts<br>Avenue Pouvana’a a Oopa","987","PAPEETE"
