"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"48.27707","-3.570836",,"Point",,"CARHAIX-PLOUGUER","29","10 heures 30","Place du Champ de Foire","CornflowerBlue",1,
"48.584476","-3.836274",,"Point",,"MORLAIX","29","11 heures","Place Edmond Puyo","CornflowerBlue",1,
"48.455376","-5.097275",,"Point",,"OUESSANT","29","11 heures 30","Place de la Mairie","CornflowerBlue",1,
"48.012506","-4.077494",,"Point",,"QUIMPER","29","10 heures 30","Route de Brest – Rond-point Fly","CornflowerBlue",1,
"47.874375","-3.553841",,"Point",,"QUIMPERLÉ","29","10 heures 30","Gare SNCF","CornflowerBlue",1,
"41.92715","8.738975",,"Point",,"AJACCIO","2A","14 heures","Devant la Gare SNCF","Default",1,
"42.692522","9.449755",,"Point",,"BASTIA","2B","10 heures","Place Vincetti","Default",1,
"44.126577","4.080492",,"Point",,"ALÈS","30","10 heures","Sous-préfecture","CornflowerBlue",1,
"44.161511","4.617906",,"Point",,"BAGNOLS-SUR-CÈZE","30","10 heures 30","Monument aux Morts","CornflowerBlue",1,
"43.99263","3.60629",,"Point",,"LE VIGAN","30","18 heures","Hôtel de ville","CornflowerBlue",1,
"43.839573","4.349642",,"Point",,"NÎMES","30","14 heures 30","Jardins de la Fontaine – Avenue Jean Jaurès","CornflowerBlue",1,
"44.01368","4.42021",,"Point",,"UZÈS","30","10 heures","Mairie","CornflowerBlue",1,
"43.45975","1.3256",,"Point",,"MURET","31","15 heures","Allées Niel","CornflowerBlue",1,
"43.109557","0.728004",,"Point",,"SAINT-GAUDENS","31","15 heures","Place Jean Pégot","CornflowerBlue",1,
"43.59793","1.431302",,"Point",,"TOULOUSE","31","15 heures","Saint-Cyprien","CornflowerBlue",1,
"43.647015","0.596389",,"Point",,"AUCH","32","10 heures 30","Gare SNCF","CornflowerBlue",1,
"44.844155","-0.576289",,"Point",,"BORDEAUX","33","12 heures","Allées de Tourny","DarkTurquoise",1,
"43.31548","3.47166",,"Point",,"AGDE","34","17 heures","Moulin des Évêques","CornflowerBlue",1,
"43.61664","3.15743",,"Point",,"BÉDARIEUX","34","10 heures 30","Maison des syndicats","CornflowerBlue",1,
"43.345514","3.219705",,"Point",,"BÉZIERS","34","10 heures 30","Maison des syndicats","CornflowerBlue",1,
"43.93568","3.70887",,"Point",,"GANGES","34","12 heures","Mairie","CornflowerBlue",1,
"43.733127","3.319483",,"Point",,"LODÈVE","34","11 heures","Sous-Préfecture","CornflowerBlue",1,
"43.67526","4.13213",,"Point",,"LUNEL","34","11 heures 30","Place de la République","CornflowerBlue",1,
"43.608002","3.890781",,"Point",,"MONTPELLIER","34","10 heures 30","Place Zeus","CornflowerBlue",1,
"43.401427","3.695969",,"Point",,"SÈTE","34","10 heures 30","Place de la Mairie","CornflowerBlue",1,
"48.41479","-1.74226",,"Point",,"COMBOURG","35","18 heures","Lycée Châteaubriand","CornflowerBlue",1,
"48.350359","-1.194607",,"Point",,"FOUGÈRES","35","17 heures 30","Esplanade des Chaussonnières","CornflowerBlue",1,
"48.138775","-1.949489",,"Point",,"MONTFORT-SUR-MEU","35","18 heures","Gare SNCF","CornflowerBlue",1,
"47.651728","-2.083666",,"Point",,"REDON","35","17 heures","Place de Bretagne","CornflowerBlue",1,
"48.109258","-1.68403",,"Point",,"RENNES","35","11 heures","Place de Bretagne","CornflowerBlue",1,
"48.646847","-2.005713",,"Point",,"SAINT-MALO","35","11 heures","Esplanade de l’Europe","CornflowerBlue",1,
"48.122873","-1.211779",,"Point",,"VITRÉ","35","17 heures","Place Général de Gaulle","CornflowerBlue",1,
"46.58556","1.522615",,"Point",,"ARGENTON-SUR-CREUSE","36","15 heures","Place de Champ de Foire","CornflowerBlue",1,
"46.811418","1.691728",,"Point",,"CHÂTEAUROUX","36","10 heures","Place de la République","CornflowerBlue",1,
"46.948343","1.991138",,"Point",,"ISSOUDUN","36","15 heures","Place du 10 juin 1944","CornflowerBlue",1,
"46.631987","1.061624",,"Point",,"LE BLANC","36","16 heures 30","Sous-préfecture","CornflowerBlue",1,
"47.379693","0.69278",,"Point",,"TOURS","37","10 heures","Place de la Liberté","CornflowerBlue",1,
"45.589291","5.276621",,"Point",,"BOURGOIN-JALLIEU","38","10 heures","Place Saint-Michel","Default",1,
"45.189528","5.719582",,"Point",,"GRENOBLE","38","14 heures","Alsace Lorraine","Default",1,
"45.05227","6.0304",,"Point",,"LE BOURG-D’OISANS","38","10 heures","Mairie – Théâtre de verdure","Default",1,
"45.15481","5.318917",,"Point",,"SAINT-MARCELLIN","38","14 heures","Champs de Mars","Default",1,
"45.655722","5.101642",,"Point",,"SAINT-QUENTIN-FALLAVIER","38","9 heures 30","Parking Relais CAPI","Default",1,
"45.52183","4.869406",,"Point",,"VIENNE","38","14 heures 30","Champs de Mars","Default",1,
"45.07500","5.77225",,"Point",,"VIZILLE","38","10 heures","Place du Château","Default",1,
